Building_Type,Main_Function,Building_Size,EUI2020,EUI_Quartile__Energy_Ranking2020,EUI2021_,EUI_Quartile__Energy_Ranking_2021,EUI2022_,EUI_Quartile__Energy_Ranking_2022,TOP_CSC_Year,Award__Green_Non_Green_,Green_Mark_Version,GFA,AC_Area,AC_Area_Percentage,No_Of_Hotel_Room,AC_Type,Age__of_Chiller,Aircon_system_efficiency__kW_RT_
Commercial Building,Office,Large,128.0,2nd Quartile,122,2nd Quartile,126,2nd Quartile,1992,GoldPlus,Existing Building for Non-Residential buildings (version 3),"26,866","25,505",95%,0,Water Cooled Chilled Water Plant,3.0,0.679
Commercial Building,Retail,Large,283.0,2nd Quartile,270,2nd Quartile,289,2nd Quartile,2008,,,"30,768","27,690",90%,0,Water Cooled Chilled Water Plant,13.0,0.0
Commercial Building,Office,Large,189.65,,0,,0,,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"23,418",0,0%,0,,10.0,0.0
Commercial Building,Office,Large,198.67,,0,,0,,1986,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"79,650",0,0%,0,,10.0,0.0
Commercial Building,Office,Small,227.51,,0,,0,,2007,,,"7,684",0,0%,0,,10.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,55.0,,54,,51,,2004,,,"9,132","4,000",44%,0,Others,0.0,0.0
Commercial Building,Hotel,,244.0,3rd Quartile,251,3rd Quartile,254,3rd Quartile,2009,Gold,Existing Non-Residental Buildings ENRB: 2017,"47,527","38,020",80%,110,Water Cooled Chilled Water Plant,14.0,0.75
Commercial Building,Retail,Large,220.0,2nd Quartile,226,2nd Quartile,223,2nd Quartile,1994,Platinum,Existing Building for Non-Residential buildings (version 3),"82,269","62,958",77%,0,Water Cooled Chilled Water Plant,7.0,0.597
Commercial Building,Office,Large,204.29,,0,,0,,2003,Gold,Existing Non-Residental Buildings ENRB: 2017,"35,533",0,0%,0,,2.0,0.0
Commercial Building,Office,Medium,316.0,Bottom Quartile,277,Bottom Quartile,256,Bottom Quartile,2001,Certified,Existing Non-Residental Buildings ENRB: 2017,"14,989","14,873",99%,0,Water Cooled Chilled Water Plant,1.0,0.0
Commercial Building,Office,Small,84.56,,0,,0,,1983,Gold,New Building for Non-Residential buildings (version 3),"5,055",0,0%,0,,6.0,0.0
Commercial Building,Industrial,Medium,257.0,Bottom Quartile,257,Bottom Quartile,250,2nd Quartile,1997,,,"11,291","10,627",94%,0,Water Cooled Chilled Water Plant,2.0,0.7
Healthcare Facility,Specialist Clinic,,0.0,,0,,0,,2014,,,"1,276",155,12%,18,Air Cooled Chilled Water Plant,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,157.0,,153,,152,,2014,,,"6,243",970,16%,0,Others,0.0,0.42
Commercial Building,Office,Large,33.0,Top Quartile,27,Top Quartile,26,Top Quartile,2000,Gold,Existing Non-Residental Buildings ENRB: 2017,"91,069",8,0%,0,Others,0.0,0.0
Commercial Building,Office,Large,181.0,3rd Quartile,168,3rd Quartile,170,3rd Quartile,1985,Certified,Existing Building for Non-Residential buildings (version 2.1),"32,150","27,761",86%,0,Water Cooled Chilled Water Plant,10.0,0.72
Commercial Building,Office,Large,126.0,2nd Quartile,124,2nd Quartile,120,Top Quartile,1999,Platinum,Existing Non-Residential Buildings (RECERT 2017),"19,765","16,269",82%,0,Water Cooled Chilled Water Plant,9.0,0.0
Commercial Building,Hotel,Large,187.05,,0,,0,,2016,Platinum,New Building for Non-Residential buildings (version 4.1),"25,200",0,0%,0,,2.0,0.0
Commercial Building,Retail,Omit,147.53,,0,,0,,1986,Certified,Existing Building for Non-Residential buildings (version 2.1),"4,52,045",0,0%,0,,16.0,0.0
Commercial Building,Retail,Small,232.01,,0,,0,,2009,Certified,New Building (version 1),"13,590",0,0%,0,,12.0,0.0
Commercial Building,Office,Small,66.83,,0,,0,,2013,,,"11,735",0,0%,0,,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,0.0,,3,,45,,2021,,,"13,769","1,459",11%,0,Others,0.0,0.0
Commercial Building,Office,Large,167.68,,0,,0,,1986,Platinum,Existing Building for Non-Residential buildings (version 3),"95,696",0,0%,0,,6.0,0.0
Commercial Building,Office,Large,131.0,2nd Quartile,139,2nd Quartile,130,2nd Quartile,2002,GoldPlus,Existing Building for Non-Residential buildings (version 3),"67,370","51,680",77%,0,Water Cooled Chilled Water Plant,5.0,0.62
Commercial Building,Office,Large,139.97,,0,,0,,1999,Platinum,Existing Building for Non-Residential buildings (version 3),"15,769",0,0%,0,,4.0,0.0
Commercial Building,Office,Small,128.42,,0,,0,,2014,Certified,Existing Non-Residental Buildings ENRB: 2017,"19,102",0,0%,0,,8.0,0.0
Commercial Building,Hotel,,335.0,Bottom Quartile,348,Bottom Quartile,370,Bottom Quartile,2012,,,"23,800","13,296",56%,240,Water Cooled Chilled Water Plant,10.0,0.0
Commercial Building,Hotel,Large,335.27,,0,,0,,2012,Platinum,New Building for Non-Residential buildings (version 3),"23,800",0,0%,0,,8.0,0.0
Commercial Building,Retail,Large,361.0,2nd Quartile,366,2nd Quartile,384,3rd Quartile,2014,Gold,New Building for Non-Residential buildings (version 4),"28,938","28,938",100%,0,Water Cooled Chilled Water Plant,8.0,-1.35
Commercial Building,Retail,Large,439.37,,0,,0,,2002,Platinum,Existing Non-Residental Buildings ENRB: 2017,"51,095",0,0%,0,,6.0,0.0
Commercial Building,Retail,Large,395.0,3rd Quartile,384,2nd Quartile,436,3rd Quartile,1994,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"24,286","23,861",98%,0,Water Cooled Chilled Water Plant,12.0,0.0
Educational Institution,Private School,,62.0,,68,,67,,2011,Platinum,GM:2021 In Operation,"87,829","76,000",98%,0,Water Cooled Chilled Water Plant,13.0,0.58
Commercial Building,Office,Medium,51.0,Top Quartile,46,Top Quartile,44,Top Quartile,2001,,,"6,092","3,802",62%,0,Others,0.0,0.99
Commercial Building,Office,,0.0,,0,,0,,2003,,,"16,180","13,980",86%,0,Water Cooled Chilled Water Plant,1.0,0.0
Commercial Building,Office,Large,521.0,Bottom Quartile,360,Bottom Quartile,490,Bottom Quartile,2017,,,"1,41,841","1,05,166",74%,0,Water Cooled Chilled Water Plant,2.0,0.62
Commercial Building,Office,,0.0,,0,,0,,2000,GoldPlus,Existing Building for Non-Residential buildings (version 3),"13,951","11,465",82%,0,Water Cooled Chilled Water Plant,4.0,0.65
Commercial Building,Hotel,Large,276.97,,0,,0,,1980,GoldPlus,Existing Building for Non-Residential buildings (version 3),"44,097",0,0%,0,,8.0,0.0
Sports & Recreation Centre,Sports Complex,,411.0,,462,,478,,2010,,,"9,764","6,205",64%,0,Others,0.0,0.0
Commercial Building,Hotel,,180.0,Top Quartile,189,Top Quartile,184,Top Quartile,1993,Gold,GM:2021 In Operation,"11,426","8,761",77%,210,Water Cooled Chilled Water Plant,9.0,0.65
Healthcare Facility,Specialist Clinic,,0.0,,0,,0,,2018,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"34,317","29,632",86%,0,Water Cooled Chilled Water Plant,5.0,0.0
Commercial Building,Office,Large,190.0,3rd Quartile,198,3rd Quartile,192,3rd Quartile,2002,Certified,Existing Building for Non-Residential buildings (version 3),"15,343","13,475",88%,0,Others,0.0,0.87
Commercial Building,Mixed Development,,121.0,Top Quartile,131,Top Quartile,133,Top Quartile,2008,Platinum,Existing Building for Non-Residential buildings (version 3),"43,347","41,158",95%,0,Water Cooled Chilled Water Plant,5.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,110.0,,111,,111,,2013,,,"6,334",441,7%,0,Others,0.0,0.0
Commercial Building,Office,Omit,220.6,,0,,0,,1991,Gold,Existing Building for Non-Residential buildings (version 3),"4,90,516",0,0%,0,,6.0,0.0
Commercial Building,Retail,Small,735.41,,0,,0,,2010,,,"5,312",0,0%,0,,8.0,0.0
Commercial Building,Office,Large,99.0,Top Quartile,102,Top Quartile,102,Top Quartile,2009,,,"19,916","17,415",87%,0,Others,0.0,0.0
Commercial Building,Hotel,,220.0,3rd Quartile,196,2nd Quartile,227,2nd Quartile,1977,Gold,Existing Non-Residential Buildings (RECERT 2017),"26,657","26,307",99%,388,Water Cooled Chilled Water Plant,11.0,0.784
Commercial Building,Office,Large,143.0,2nd Quartile,136,2nd Quartile,135,2nd Quartile,1995,Platinum,Existing Non-Residental Buildings ENRB: 2017,"17,825","10,572",59%,0,Water Cooled Chilled Water Plant,1.0,0.61
Commercial Building,Mixed Development,Large,198.72,,0,,0,,1996,Platinum,Existing Building for Non-Residential buildings (version 3),"37,285",0,0%,0,,12.0,0.0
Commercial Building,Retail,Large,214.0,2nd Quartile,226,2nd Quartile,224,2nd Quartile,1968,,,"44,900","20,276",45%,0,Water Cooled Chilled Water Plant,1.0,0.0
Commercial Building,Hotel,Omit,242.21,,0,,0,,2010,,,"11,938",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,156.0,2nd Quartile,150,2nd Quartile,160,3rd Quartile,2014,Platinum,New Building for Non-Residential buildings (version 4.0),"82,003","65,225",80%,0,Water Cooled Chilled Water Plant,9.0,0.56
Sports & Recreation Centre,Sports Complex,,8.0,,12,,11,,1981,,,"21,600",800,4%,0,Others,0.0,0.0
Commercial Building,Office,Large,73.0,Top Quartile,80,Top Quartile,89,Top Quartile,2018,,,"33,123","29,000",88%,0,Others,0.0,0.0
Commercial Building,Office,Large,249.48,,0,,0,,1983,Platinum,Existing Building for Non-Residential buildings (version 2.1),"99,012",0,0%,0,,7.0,0.0
Commercial Building,Hotel,Small,255.67,,0,,0,,2018,,,"2,122",0,0%,0,,2.0,0.0
Commercial Building,Hotel,,327.0,Bottom Quartile,313,Bottom Quartile,338,Bottom Quartile,2013,,,"8,784","8,702",99%,306,Others,0.0,0.0
Commercial Building,Office,Medium,199.0,3rd Quartile,141,2nd Quartile,197,2nd Quartile,2009,,,"6,521","5,800",89%,0,Others,0.0,0.0
Commercial Building,Office,Large,150.0,2nd Quartile,162,3rd Quartile,178,3rd Quartile,2014,Platinum,New Building for Non-Residential buildings (version 4.0),"22,485","10,537",47%,0,Water Cooled Chilled Water Plant,5.0,0.6
Commercial Building,Office,Large,116.38,,0,,0,,1985,Platinum,Existing Building for Non-Residential buildings (version 3),"55,206",0,0%,0,,2.0,0.0
Commercial Building,Office,Large,179.0,3rd Quartile,165,3rd Quartile,131,2nd Quartile,2013,Platinum,Existing Non-Residential Buildings (RECERT 2017),"25,510","2,148",8%,0,Water Cooled Chilled Water Plant,10.0,0.603
Commercial Building,Office,Medium,120.0,2nd Quartile,114,2nd Quartile,124,2nd Quartile,2011,,,"2,599","1,904",73%,0,Others,0.0,0.0
Commercial Building,Hotel,Small,215.36,,0,,0,,2017,GoldPlus,New Building for Non-Residential buildings (version 4.1),"6,666",0,0%,0,,3.0,0.0
Commercial Building,Office,Medium,95.0,Top Quartile,93,Top Quartile,98,Top Quartile,2015,,,"12,253","11,184",91%,0,Water Cooled Chilled Water Plant,7.5,0.6856
Sports & Recreation Centre,Recreation Club,,214.0,,230,,243,,1935,,,"20,544","15,000",73%,0,Others,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,64.0,,67,,69,,2017,,,"22,054","3,010",14%,0,Others,0.0,0.0
Commercial Building,Retail,Large,403.0,3rd Quartile,419,3rd Quartile,451,3rd Quartile,1995,Platinum,Existing Building for Non-Residential buildings (version 3),"30,400","25,000",82%,0,Water Cooled Chilled Water Plant,3.0,0.59
Commercial Building,Retail,Small,405.7,,0,,0,,2005,GoldPlus,Existing Building for Non-Residential buildings (version 3),"5,345",0,0%,0,,8.0,0.0
Commercial Building,Office,Large,280.22,,0,,0,,2013,Gold,New Building for Non-Residential buildings (version 4),"33,363",0,0%,0,,3.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2011,Gold,New Building for Non-Residential buildings (version 3),"9,518","7,660",80%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Retail,Large,467.0,Bottom Quartile,474,3rd Quartile,476,Bottom Quartile,2009,,,"38,262","37,687",98%,0,Water Cooled Chilled Water Plant,13.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,236.0,,231,,230,,1999,,,"7,825","7,000",89%,0,Others,0.0,0.0
Commercial Building,Office,Medium,62.0,Top Quartile,70,Top Quartile,74,Top Quartile,2017,Platinum,New Building for Non-Residential buildings (version 4.1),"5,382","3,438",64%,0,Water Cooled Chilled Water Plant,11.0,0.0
Commercial Building,Hotel,,247.0,3rd Quartile,259,3rd Quartile,301,Bottom Quartile,2012,GoldPlus,Existing Building for Non-Residential buildings (version 3),"8,922","8,922",100%,86,Water Cooled Chilled Water Plant,8.0,0.65
Commercial Building,Office,Large,102.0,Top Quartile,92,Top Quartile,107,Top Quartile,2000,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"28,355","27,042",95%,0,Water Cooled Chilled Water Plant,8.0,0.618
Commercial Building,Office,Large,257.0,,243,,259,,2013,Platinum,Existing Building for Non-Residential buildings (version 3),"22,500","2,800",12%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Retail,Large,339.0,2nd Quartile,341,2nd Quartile,343,2nd Quartile,1980,Gold,Existing Non-Residential Buildings (RECERT 2017),"25,772","23,879",93%,0,Water Cooled Chilled Water Plant,5.0,0.68
Commercial Building,Office,Large,83.0,Top Quartile,41,Top Quartile,76,Top Quartile,1982,,,"25,879","20,000",77%,0,Water Cooled Chilled Water Plant,12.0,0.72
Commercial Building,Office,Large,137.43,,0,,0,,1996,Platinum,Existing Building for Non-Residential buildings (version 3),"86,572",0,0%,0,,4.0,0.0
Educational Institution,Private School,,132.0,,158,,146,,2007,Gold,Existing Non-Residential Buildings (RECERT 2017),"29,577","20,823",58%,0,Water Cooled Chilled Water Plant,12.0,1.06
Educational Institution,Private School,,139.0,,144,,172,,2014,,Existing Building for Non-Residential buildings (version 3),"35,823","5,378",100%,5,Others,0.0,0.0
Commercial Building,Office,Large,104.0,Top Quartile,104,Top Quartile,104,Top Quartile,2017,Gold,GM:2021 In Operation,"21,678","13,750",63%,0,Others,0.0,0.0
Commercial Building,Office,Omit,212.43,,0,,0,,1994,Legislated,,"3,83,038",0,0%,0,,9.0,0.0
Commercial Building,Office,Large,134.69,,0,,0,,1990,Platinum,Existing Building for Non-Residential buildings (version 2.1),"31,298",0,0%,0,,10.0,0.0
Commercial Building,Office,Large,114.0,Top Quartile,111,Top Quartile,102,Top Quartile,2019,Platinum,GM:2021 In Operation,"1,03,444","72,091",70%,0,Water Cooled Chilled Water Plant,4.0,0.6
Commercial Building,Retail,Large,301.0,2nd Quartile,312,2nd Quartile,340,2nd Quartile,1986,,,"40,064","38,000",95%,0,Water Cooled Chilled Water Plant,17.0,0.82
Commercial Building,Mixed Development,Large,200.15,,0,,0,,1972,Gold,Existing Building for Non-Residential buildings (version 2.1),"47,107",0,0%,0,,6.0,0.0
Commercial Building,Office,Small,41.93,,0,,0,,2002,,,"5,834",0,0%,0,,1.0,0.0
Commercial Building,Hotel,,208.0,2nd Quartile,172,Top Quartile,31,Top Quartile,1997,,,"10,136","9,977",98%,240,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Large,168.0,3rd Quartile,163,3rd Quartile,173,3rd Quartile,2003,,,"33,846","33,846",100%,0,Others,0.0,0.0
Commercial Building,Office,Large,121.2,,0,,0,,2017,GoldPlus,New Building for Non-Residential buildings (version 4.1),"64,562",0,0%,0,,3.0,0.0
Commercial Building,Retail,Medium,229.0,2nd Quartile,213,Top Quartile,238,Top Quartile,1983,,,"14,571","8,000",55%,0,Water Cooled Chilled Water Plant,22.0,0.65
Commercial Building,Hotel,Small,271.89,,0,,0,,2008,Certified,Existing Building for Non-Residential buildings (version 2.1),"6,086",0,0%,0,,9.0,0.0
Commercial Building,Office,Large,110.68,,0,,0,,1992,Platinum,Existing Building for Non-Residential buildings (version 3),"62,392",0,0%,0,,6.0,0.0
Commercial Building,Office,Large,124.07,,0,,0,,1999,Gold,Existing Non-Residental Buildings ENRB: 2017,"42,561",0,0%,0,,1.0,0.0
Commercial Building,Office,Medium,227.0,Bottom Quartile,224,Bottom Quartile,222,2nd Quartile,2013,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"13,121","12,587",96%,0,Water Cooled Chilled Water Plant,10.0,0.67
Commercial Building,Office,Small,182.81,,0,,0,,1975,,,"7,811",0,0%,0,,20.0,0.0
Commercial Building,Office,Large,0.0,,0,,0,,2009,Platinum,Existing Building for Non-Residential buildings (version 2.1),"33,599","2,601",8%,0,Water Cooled Chilled Water Plant,14.0,0.64
Commercial Building,Office,Large,122.0,,112,,111,,2002,Gold,GM:2021 In Operation,"47,410","32,745",69%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,124.0,2nd Quartile,125,2nd Quartile,131,2nd Quartile,1999,Gold,Existing Non-Residential Buildings (RECERT 2017),"42,561","34,616",81%,0,Water Cooled Chilled Water Plant,4.0,0.369
Commercial Building,Retail,Small,516.42,,0,,0,,2014,Legislated,,"8,677",0,0%,0,,3.0,0.0
Commercial Building,Office,Medium,231.0,Bottom Quartile,247,Bottom Quartile,260,Bottom Quartile,2004,,,"5,680","4,202",74%,0,Others,0.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,180.0,,183,,153,,2015,,,"10,928","4,828",44%,0,Others,0.0,0.0
Commercial Building,Office,Large,90.0,,86,,86,,2014,Gold,New Building for Non-Residential buildings (version 4),"18,365","15,073",82%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,200.0,3rd Quartile,208,Bottom Quartile,210,Bottom Quartile,2001,,,"15,423","8,863",57%,0,Water Cooled Chilled Water Plant,22.0,0.0
Commercial Building,Office,Large,77.49,,0,,0,,1991,Platinum,Existing Building for Non-Residential buildings (version 3),"16,654",0,0%,0,,8.0,0.0
Commercial Building,Office,Large,47.0,Top Quartile,125,2nd Quartile,151,2nd Quartile,2020,,,"56,533","52,417",93%,0,Water Cooled Chilled Water Plant,3.0,0.63
Commercial Building,Office,Large,212.0,Bottom Quartile,210,Bottom Quartile,212,Bottom Quartile,1999,Platinum,Existing Building for Non-Residential buildings (version 3),"38,324","30,249",79%,0,Water Cooled Chilled Water Plant,7.0,0.6
Commercial Building,Retail,Medium,382.0,3rd Quartile,387,3rd Quartile,375,3rd Quartile,1996,Gold,Existing Building for Non-Residential buildings (version 2.1),"11,820","7,656",65%,0,Others,0.0,0.0
Commercial Building,Office,Omit,202.56,,0,,0,,2001,Gold,Existing Building for Non-Residential buildings (version 2.1),"60,922",0,0%,0,,1.0,0.0
Healthcare Facility,Hospital,,264.0,,257,,250,,2015,,,"1,86,357","1,30,612",70%,0,Water Cooled Chilled Water Plant,4.0,0.0
Sports & Recreation Centre,Sports Complex,,212.0,,206,,218,,2011,GoldPlus,New Building for Non-Residential buildings (version 3),"11,800","1,400",12%,0,Others,0.0,0.0
Commercial Building,Hotel,,174.0,Top Quartile,150,Top Quartile,146,Top Quartile,2019,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"15,996","15,326",96%,304,Water Cooled Chilled Water Plant,4.0,0.61
Commercial Building,Hotel,,182.0,Top Quartile,195,2nd Quartile,199,2nd Quartile,2016,Certified,New Building for A/C buildings (version 2),"15,694","10,338",66%,146,Others,0.0,0.0
Commercial Building,Retail,Large,30.77,,0,,0,,2007,,,"51,909",0,0%,0,,12.0,0.0
Commercial Building,Industrial,Large,296.0,Bottom Quartile,281,Bottom Quartile,288,Bottom Quartile,1997,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"15,550","13,873",89%,0,Water Cooled Chilled Water Plant,2.0,0.618
Commercial Building,Office,Small,932.57,,0,,0,,1997,,,"8,157",0,0%,0,,13.0,0.0
Commercial Building,Office,Omit,127.65,,0,,0,,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"43,006",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,272.0,Bottom Quartile,174,3rd Quartile,179,3rd Quartile,1990,,,"1,05,312","70,526",67%,0,Water Cooled Chilled Water Plant,0.0,0.72
Commercial Building,Office,Omit,197.49,,0,,0,,2008,Platinum,Existing Building for Non-Residential buildings (version 3),"1,20,384",0,0%,0,,12.2,0.0
Healthcare Facility,Hospital,,276.0,,279,,282,,2017,Platinum,GM:2021 In Operation,"2,88,000","1,58,344",55%,0,Water Cooled Chilled Water Plant,6.0,0.6159
Commercial Building,Office,,0.0,,0,,0,,2002,Gold,Existing Building for Non-Residential buildings (version 2.1),"19,190","14,313",75%,0,Water Cooled Chilled Water Plant,9.0,0.809
Commercial Building,Retail,Large,0.0,Bottom Quartile,39,Top Quartile,405,3rd Quartile,2021,Platinum,Existing Non-Residental Buildings ENRB: 2017,"27,138","27,000",99%,0,Water Cooled Chilled Water Plant,11.0,0.92
Commercial Building,Office,Small,800.18,,0,,0,,1983,,,"12,135",0,0%,0,,17.0,0.0
Educational Institution,Univerisity,,106.0,,110,,124,,2005,Platinum,Existing Building for Non-Residential buildings (version 3),"1,02,750","69,060",67%,0,Water Cooled Chilled Water Plant,7.0,0.53
Commercial Building,Office,,0.0,,0,,0,,1997,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"58,854","48,484",82%,0,Water Cooled Chilled Water Plant,9.0,0.61
Commercial Building,Hotel,Large,154.19,,0,,0,,1995,Platinum,New Building for Non-Residential buildings (version 4.1),"20,348",0,0%,0,,1.0,0.0
Commercial Building,Retail,Small,298.91,,0,,0,,1974,,,"12,977",0,0%,0,,22.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,36.0,,35,,35,,1939,,,"13,002",360,3%,0,Others,0.0,0.0
Commercial Building,Hotel,,221.0,3rd Quartile,210,2nd Quartile,217,2nd Quartile,1971,,,"23,500","23,354",99%,362,Water Cooled Chilled Water Plant,25.0,0.0
Commercial Building,Office,Medium,167.0,3rd Quartile,162,3rd Quartile,176,2nd Quartile,1998,Platinum,Existing Building for Non-Residential buildings (version 3),"10,850","8,800",81%,0,Water Cooled Chilled Water Plant,10.0,0.65
Commercial Building,Office,Large,267.0,Bottom Quartile,190,3rd Quartile,173,3rd Quartile,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"30,408","28,950",95%,0,Water Cooled Chilled Water Plant,2.0,0.55
Commercial Building,Retail,Large,433.74,,0,,0,,2014,Platinum,Existing Building for Non-Residential buildings (version 3),"29,002",0,0%,0,,6.0,0.0
Commercial Building,Office,Medium,230.0,Bottom Quartile,212,3rd Quartile,225,2nd Quartile,1990,GoldPlus,GM:2021 In Operation,"8,790","6,539",74%,0,Others,0.0,0.0
Commercial Building,Hotel,,229.0,3rd Quartile,214,2nd Quartile,239,3rd Quartile,2014,Platinum,New Building for Non-Residential buildings (version 4),"11,783","9,351",79%,442,Water Cooled Chilled Water Plant,10.0,0.55
Commercial Building,Office,,0.0,,0,,0,,1970,Platinum,Existing Non-Residental Buildings ENRB: 2017,"28,366","4,695",17%,0,Water Cooled Chilled Water Plant,2.0,0.58
Commercial Building,Mixed Development,,230.0,3rd Quartile,244,3rd Quartile,276,Bottom Quartile,1992,Gold,GM:2021 In Operation,"4,548",400,9%,0,Others,0.0,0.0
Commercial Building,Office,Large,147.0,,132,,99,,2008,Certified,Existing Non-Residential Buildings (RECERT 2017),"19,448","16,640",86%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,261.0,Bottom Quartile,301,Bottom Quartile,299,Bottom Quartile,1983,Platinum,Existing Non-Residential Buildings (RECERT 2017),"94,753","94,753",100%,0,Water Cooled Chilled Water Plant,10.0,0.631
Healthcare Facility,Community Hospital/ Nursing Home,,97.0,,88,,93,,2018,,,"10,833","1,164",11%,0,Others,0.0,0.0
Commercial Building,Office,Small,134.21,,0,,0,,1991,,,"11,315",0,0%,0,,2.0,0.0
Commercial Building,Office,Medium,56.0,Top Quartile,62,Top Quartile,64,Top Quartile,1976,,,"5,099","3,570",70%,0,Others,0.0,0.0
Commercial Building,Office,Small,132.79,,0,,0,,1985,,,"6,978",0,0%,0,,6.0,0.0
Commercial Building,Retail,Small,130.03,,0,,0,,1982,Gold,Existing Building for Non-Residential buildings (version 3),"12,969",0,0%,0,,2.0,0.0
Commercial Building,Retail,Medium,130.0,Top Quartile,148,Top Quartile,154,Top Quartile,1982,Gold,Existing Building for Non-Residential buildings (version 3),"12,969","12,000",93%,0,Water Cooled Chilled Water Plant,2.0,0.625
Commercial Building,Office,Large,183.0,3rd Quartile,189,3rd Quartile,188,3rd Quartile,2000,Platinum,Existing Non-Residental Buildings ENRB: 2017,"51,479","30,615",59%,0,Water Cooled Chilled Water Plant,2.0,0.18
Healthcare Facility,Hospital,,351.0,,351,,344,,1998,,,"1,12,947","74,061",66%,0,Water Cooled Chilled Water Plant,12.0,0.0
Commercial Building,Office,Medium,192.0,3rd Quartile,178,3rd Quartile,155,2nd Quartile,1994,,,"7,526","7,526",100%,0,Water Cooled Chilled Water Plant,28.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,291.0,,293,,243,,2013,Gold,Existing Building for Non-Residential buildings (version 3),"5,200","1,200",23%,0,Others,0.0,0.0
Commercial Building,Office,Small,346.57,,0,,0,,2011,Legislated,,"2,181",0,0%,0,,9.0,0.0
Commercial Building,Office,Large,209.61,,0,,0,,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"95,555",0,0%,0,,3.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,105.0,,107,,111,,1987,GoldPlus,Existing Building for Non-Residential buildings (version 3),"8,710","7,867",90%,110,Water Cooled Chilled Water Plant,8.0,0.67
Commercial Building,Office,Medium,144.0,3rd Quartile,134,2nd Quartile,146,2nd Quartile,1994,,,"12,586","1,341",11%,0,Water Cooled Chilled Water Plant,7.0,0.0
Commercial Building,Office,Large,103.67,,0,,0,,2017,GoldPlus,Existing Building for Non-Residential buildings (version 3),"21,678",0,0%,0,,2.0,0.0
Commercial Building,Office,Large,98.6,,0,,0,,1985,Platinum,Existing Building for Non-Residential buildings (version 3),"49,021",0,0%,0,,1.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2008,GoldPlus,Existing Building for Non-Residential buildings (version 3),"21,087","17,180",81%,0,District Cooling System (DCS),0.0,0.05
"Civic, Community & Cultural Institution",Civic Institution,,211.0,,197,,191,,1986,Gold,Existing Non-Residental Buildings ENRB: 2017,"8,632","8,632",100%,0,Others,0.0,0.0
Commercial Building,Office,Large,96.0,Top Quartile,204,Bottom Quartile,214,Bottom Quartile,2019,,,"42,630","36,510",86%,0,Air Cooled Chilled Water Plant,0.0,0.573
Commercial Building,Hotel,Large,273.03,,0,,0,,2008,,,"42,461",0,0%,0,,10.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,75.0,,70,,70,,2014,,,"6,757",389,6%,0,Others,0.0,0.0
Commercial Building,Office,Small,227.94,,0,,0,,1980,,,"10,471",0,0%,0,,10.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,78.0,,78,,84,,1993,,,"1,71,698","31,200",18%,0,Air Cooled Chilled Water Plant,0.0,0.0
Educational Institution,ITE/ Polytechnic,,102.0,,102,,94,,1995,Platinum,Existing Non-Residental Buildings ENRB: 2017,"2,56,082","1,90,744",53%,0,Water Cooled Chilled Water Plant,1.0,0.0
Commercial Building,Retail,Large,112.0,Top Quartile,143,Top Quartile,130,Top Quartile,2014,,,"16,971","16,167",95%,0,Water Cooled Chilled Water Plant,8.0,0.79
Healthcare Facility,Polyclinic/ Private Clinic,,220.0,,227,,231,,2017,,,"8,750","6,610",76%,0,Water Cooled Chilled Water Plant,4.0,0.48
Commercial Building,Retail,Large,730.01,,0,,0,,1995,,,"23,000",0,0%,0,,0.0,0.0
